"date","title","location","link"
2015-09-13 21:30:00,"236 - 1423 - Cincinnati, OH HD.com Seasonal Merchandise Showdown! September 13th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii1423/category/ALL"
2015-09-14 08:30:00,"236 - 193 - West Chester, OH Staples Professional Office September 14th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office193/category/ALL"
2015-09-14 11:30:00,"236 - 194 - West Chester, OH Staples Professional Office September 14th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office194/category/ALL"
2015-09-14 15:30:00,"236 - 195 - West Chester, OH Staples Professional Office September 14th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office195/category/ALL"
2015-09-14 18:45:00,"233 - 439 - Cincinnati, OH Willie's Sports Cafe Liquidation September 14th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii439/category/ALL"
2015-09-14 19:00:00,"236 - 1428 - Cincinnati, OH HD.com Online Home Improvement September 14th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii1428/category/ALL"
2015-09-14 19:45:00,"239 - 1400 - Cincinnati, OH Your Carpet & Flooring Wholesaler September 14th, 2015 internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii1400/category/ALL"
2015-09-14 20:30:00,"236 - 196 - West Chester, OH Staple Professional Office September 14th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office196/category/ALL"
2015-09-15 08:30:00,"236 - 197 - West Chester, OH Staples Professional Office September 15th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office197/category/ALL"
2015-09-15 10:00:00,"236 - 1430 - Cincinnati, OH HD.com Seasonal Showdown September 15th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii1430/category/ALL"
2015-09-15 11:30:00,"236 - 180 - West Chester, OH Staples Professional Office Supply September 15th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office180/category/ALL"
2015-09-15 15:30:00,"236 - 199 - West Chester, OH Staples Professional Office Supply September 15th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office199/category/ALL"
2015-09-15 20:30:00,"236 - 202 - West Chester, OH Staples Professional Office Supply September 15th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office202/category/ALL"
2015-09-16 08:30:00,"236 - 200 - West Chester, OH Staples Professional Office Supply September 16th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office200/category/ALL"
2015-09-16 11:30:00,"236 - 203 - West Chester, OH Staples Professional Office Supply September 16th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office203/category/ALL"
2015-09-16 15:30:00,"236 - 198 - West Chester, OH Staples Professional Office Supply September 16th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office198/category/ALL"
2015-09-16 20:30:00,"236 - 205 - West Chester, OH Staples Professional Office Supply September 16th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office205/category/ALL"
2015-09-17 08:30:00,"236 - 204 - West Chester, OH Staples Professional Office Supply September 17th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office204/category/ALL"
2015-09-17 11:30:00,"236 - 201 - West Chester, OH Staples Professional Office Supply September 17th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office201/category/ALL"
2015-09-17 15:30:00,"236 - 210 - West Chester, OH Staples Professional Office Supply September 17th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office210/category/ALL"
2015-09-17 20:30:00,"236 - 209 - West Chester, OH Staples Professional Office Supply September 17th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office209/category/ALL"
